CodLift;DataEvent;Flags;Num;Name
50;2020-02-01 02:06:05.000;18;213;Нет связи
50;2020-02-01 08:27:05.000;16;213;Нет связи
100;2020-02-01 10:13:44.000;18;133;Зажата кнопка СТОП в кабине лифта
100;2020-02-01 10:13:53.000;16;133;Зажата кнопка СТОП в кабине лифта
50;2020-02-02 16:34:27.000;18;128;22 - Режим погрузки
50;2020-02-02 16:35:03.000;16;128;22 - Режим погрузки
50;2020-02-04 15:06:07.000;18;164;Аварийная блокировка
50;2020-02-04 15:06:13.000;16;164;Аварийная блокировка
150;2020-02-04 17:33:54.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-04 17:35:58.000;18;178;Отсутствует обмен с MCS
150;2020-02-04 17:36:46.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-04 17:36:46.000;16;178;Отсутствует обмен с MCS
150;2020-02-04 17:36:48.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-04 17:36:52.000;18;178;Отсутствует обмен с MCS
150;2020-02-04 17:37:15.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-04 17:37:15.000;16;178;Отсутствует обмен с MCS
150;2020-02-04 17:37:16.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-04 17:37:20.000;18;178;Отсутствует обмен с MCS
150;2020-02-04 17:37:31.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-04 17:37:31.000;16;178;Отсутствует обмен с MCS
150;2020-02-04 17:37:34.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-04 17:37:37.000;18;178;Отсутствует обмен с MCS
150;2020-02-05 07:51:59.000;18;129;Рестарт блока
150;2020-02-05 07:51:59.000;16;178;Отсутствует обмен с MCS
150;2020-02-05 07:52:01.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-05 07:52:01.000;2;8;Рестарт ЛБ - код рестарта 0xFB
150;2020-02-05 07:52:01.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-05 07:52:01.000;16;129;Рестарт блока
150;2020-02-05 07:53:38.000;18;178;Отсутствует обмен с MCS
150;2020-02-05 08:36:25.000;18;213;Нет связи
150;2020-02-05 08:36:25.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-05 08:36:25.000;16;178;Отсутствует обмен с MCS
150;2020-02-05 08:42:17.000;18;131;Проникновение в МП
150;2020-02-05 08:42:18.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-05 08:42:18.000;18;165;Открыто МП
150;2020-02-05 08:42:18.000;18;178;Отсутствует обмен с MCS
150;2020-02-05 08:42:18.000;16;213;Нет связи
150;2020-02-05 08:57:25.000;18;213;Нет связи
150;2020-02-05 08:57:25.000;16;131;Проникновение в МП
150;2020-02-05 08:57:25.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-05 08:57:25.000;16;165;Открыто МП
150;2020-02-05 08:57:25.000;16;178;Отсутствует обмен с MCS
150;2020-02-05 09:02:27.000;18;131;Проникновение в МП
150;2020-02-05 09:02:27.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-05 09:02:27.000;18;165;Открыто МП
150;2020-02-05 09:02:27.000;18;178;Отсутствует обмен с MCS
150;2020-02-05 09:02:27.000;16;213;Нет связи
150;2020-02-05 09:02:28.000;16;165;Открыто МП
150;2020-02-05 10:13:49.000;18;213;Нет связи
150;2020-02-05 10:13:49.000;16;131;Проникновение в МП
150;2020-02-05 10:13:49.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-05 10:13:49.000;16;178;Отсутствует обмен с MCS
150;2020-02-05 10:15:57.000;18;131;Проникновение в МП
