CodLift;DataRec;NumOnMain
50;2020-02-01 00:04:20.000;29717
50;2020-02-01 01:04:20.000;29725
50;2020-02-01 09:04:20.000;29779
50;2020-02-01 10:04:20.000;29799
50;2020-02-01 11:04:20.000;29831
50;2020-02-01 12:04:20.000;29874
50;2020-02-01 13:04:20.000;29907
50;2020-02-01 14:04:20.000;29948
50;2020-02-01 15:04:20.000;29991
50;2020-02-01 16:04:20.000;30020
50;2020-02-01 17:04:20.000;30057
50;2020-02-01 18:04:20.000;30108
50;2020-02-01 19:04:20.000;30137
50;2020-02-01 20:04:20.000;30157
50;2020-02-01 21:04:20.000;30202
50;2020-02-01 22:04:20.000;30227
50;2020-02-01 23:04:20.000;30242
50;2020-02-02 00:04:20.000;30252
50;2020-02-02 01:04:20.000;30258
50;2020-02-02 02:04:20.000;30261
50;2020-02-02 03:04:20.000;30264
50;2020-02-02 04:04:21.000;30265
50;2020-02-02 05:04:20.000;30268
50;2020-02-02 06:04:20.000;30268
50;2020-02-02 07:04:20.000;30273
50;2020-02-02 08:04:20.000;30290
50;2020-02-02 09:04:20.000;30300
50;2020-02-02 10:04:20.000;30314
50;2020-02-02 11:04:20.000;30331
50;2020-02-02 12:04:20.000;30369
50;2020-02-02 13:04:20.000;30405
50;2020-02-02 14:04:20.000;30431
50;2020-02-02 15:04:20.000;30462
50;2020-02-02 16:04:20.000;30495
50;2020-02-02 17:04:20.000;30537
50;2020-02-02 18:04:20.000;30569
50;2020-02-02 19:04:20.000;30611
50;2020-02-02 20:04:20.000;30646
50;2020-02-02 21:04:20.000;30674
50;2020-02-02 22:04:20.000;30690
50;2020-02-02 23:04:20.000;30706
50;2020-02-03 00:04:20.000;30710
50;2020-02-03 01:04:20.000;30713
50;2020-02-03 02:04:20.000;30714
50;2020-02-03 03:04:20.000;30714
50;2020-02-03 04:04:20.000;30716
50;2020-02-03 05:04:20.000;30716
50;2020-02-03 06:04:20.000;30730
50;2020-02-03 07:04:20.000;30753
50;2020-02-03 08:04:20.000;30806
50;2020-02-03 09:04:20.000;30854
50;2020-02-03 10:04:20.000;30873
50;2020-02-03 11:04:20.000;30898
50;2020-02-03 12:04:20.000;30931
50;2020-02-03 13:04:20.000;30970
50;2020-02-03 14:04:20.000;31005
50;2020-02-03 15:04:20.000;31042
50;2020-02-03 16:04:22.000;31093
50;2020-02-03 17:04:20.000;31134
50;2020-02-03 18:04:21.000;31186
50;2020-02-03 19:04:21.000;31246
50;2020-02-03 20:04:21.000;31298
50;2020-02-03 21:04:21.000;31335
50;2020-02-03 22:04:21.000;31360
50;2020-02-03 23:04:21.000;31386
50;2020-02-04 00:04:21.000;31405
50;2020-02-04 01:04:21.000;31406
50;2020-02-04 02:04:21.000;31406
50;2020-02-04 03:04:21.000;31407
50;2020-02-04 04:04:21.000;31410
50;2020-02-04 05:04:21.000;31410
50;2020-02-04 06:04:20.000;31424
50;2020-02-04 07:04:21.000;31448
50;2020-02-04 08:04:20.000;31500
50;2020-02-04 09:04:21.000;31541
50;2020-02-04 14:13:30.000;31722
50;2020-02-04 15:04:20.000;31745
50;2020-02-04 16:04:20.000;31782
50;2020-02-04 17:04:20.000;31815
50;2020-02-04 18:04:20.000;31844
50;2020-02-04 19:04:20.000;31890
50;2020-02-04 20:04:20.000;31940
50;2020-02-04 21:04:21.000;31977
50;2020-02-04 22:04:23.000;32009
50;2020-02-04 23:04:21.000;32027
50;2020-02-05 00:04:21.000;32030
50;2020-02-05 01:04:21.000;32040
50;2020-02-05 02:04:21.000;32044
50;2020-02-05 03:04:20.000;32046
50;2020-02-05 04:04:20.000;32046
50;2020-02-05 05:04:21.000;32047
50;2020-02-05 06:04:20.000;32057
50;2020-02-05 07:04:21.000;32089
50;2020-02-05 08:04:21.000;32147
50;2020-02-05 09:04:20.000;32180
50;2020-02-05 10:04:21.000;32218
50;2020-02-05 11:04:21.000;32239
50;2020-02-05 12:04:21.000;32259
50;2020-02-05 13:04:21.000;32284
50;2020-02-05 14:04:21.000;32325
50;2020-02-05 15:04:21.000;32355
50;2020-02-05 16:04:21.000;32393
50;2020-02-05 17:04:21.000;32440
50;2020-02-05 18:04:21.000;32482
50;2020-02-05 19:04:21.000;32528
50;2020-02-05 20:04:21.000;32583
50;2020-02-05 21:04:21.000;32616
